
SYMMETRICAL COMPONENT VOLTAGES BY BUS (for 3-phase buses)

Bus                   Mag:   V1 (kV)    p.u.     V2 (kV)   %V2/V1    V0 (kV)    %V0/V1

sourcebus                69.72       1.05  6.983E-007  1.002E-006 1.282E-006 1.839E-006
x2841648a                0.103     0.8577          0          0         0         0
sx2841648a              0.1027     0.8551          0          0         0         0
x2973157a               0.1031     0.8583          0          0         0         0
sx2973157a              0.1026      0.854          0          0         0         0
x3178978a               0.1033     0.8604          0          0         0         0
sx3178978a               0.103     0.8577          0          0         0         0
x2879075a               0.1033     0.8599          0          0         0         0
sx2879075a              0.1029     0.8573          0          0         0         0
x3082992a                0.103     0.8577          0          0         0         0
sx3082992a              0.1027      0.855          0          0         0         0
x2728247a               0.1169     0.9736          0          0         0         0
sx2728247a              0.1167     0.9717          0          0         0         0
x2728247b               0.1171     0.9751          0          0         0         0
sx2728247b              0.1165     0.9698          0          0         0         0
x2728247c               0.1214      1.011          0          0         0         0
sx2728247c              0.1212      1.009          0          0         0         0
x3197633a               0.1048     0.8725          0          0         0         0
sx3197633a              0.1042     0.8681          0          0         0         0
x2879069a               0.1048     0.8725          0          0         0         0
sx2879069a              0.1046     0.8707          0          0         0         0
x3178971a               0.1047     0.8722          0          0         0         0
sx3178971a              0.1044     0.8696          0          0         0         0
x2973154a               0.1048     0.8726          0          0         0         0
sx2973154a              0.1045     0.8699          0          0         0         0
x2973155a               0.1049     0.8738          0          0         0         0
sx2973155a              0.1046     0.8712          0          0         0         0
x3122814c               0.1171     0.9751          0          0         0         0
sx3122814c              0.1167     0.9718          0          0         0         0
x2991908a               0.1051      0.875          0          0         0         0
sx2991908a              0.1048     0.8723          0          0         0         0
x2860481c               0.1171     0.9748          0          0         0         0
sx2860481c              0.1168     0.9726          0          0         0         0
x2841621c                0.117     0.9746          0          0         0         0
sx2841621c              0.1164     0.9691          0          0         0         0
x2804255b               0.1052     0.8763          0          0         0         0
sx2804255b              0.1047     0.8715          0          0         0         0
x2954345c               0.1168     0.9722          0          0         0         0
sx2954345c              0.1164     0.9689          0          0         0         0
x2935555a               0.1057     0.8804          0          0         0         0
sx2935555a              0.1054     0.8777          0          0         0         0
x2897773a               0.1057     0.8803          0          0         0         0
sx2897773a              0.1055     0.8785          0          0         0         0
x2748127a               0.1057     0.8803          0          0         0         0
sx2748127a              0.1054     0.8776          0          0         0         0
x3197631a               0.1057     0.8803          0          0         0         0
sx3197631a              0.1054     0.8776          0          0         0         0
x2935554a               0.1058     0.8806          0          0         0         0
sx2935554a              0.1055     0.8788          0          0         0         0
x2822866b               0.1072     0.8923          0          0         0         0
sx2822866b              0.1066     0.8874          0          0         0         0
x3178972c               0.1167     0.9714          0          0         0         0
sx3178972c              0.1153     0.9603          0          0         0         0
x3104123c               0.1166     0.9713          0          0         0         0
sx3104123c              0.1162      0.968          0          0         0         0
x2973153a                0.106     0.8825          0          0         0         0
sx2973153a              0.1056     0.8798          0          0         0         0
x3216123a               0.1061     0.8834          0          0         0         0
sx3216123a              0.1058     0.8807          0          0         0         0
x2972930a               0.1067     0.8886          0          0         0         0
sx2972930a              0.1062     0.8841          0          0         0         0
x3029506b               0.1094      0.911          0          0         0         0
sx3029506b              0.1092      0.909          0          0         0         0
x2785521c               0.1164     0.9692          0          0         0         0
sx2785521c              0.1154     0.9609          0          0         0         0
x3197661c               0.1163     0.9687          0          0         0         0
sx3197661c              0.1159     0.9654          0          0         0         0
x3216345b               0.1091     0.9087          0          0         0         0
sx3216345b              0.1082     0.9011          0          0         0         0
x2879070b               0.1092      0.909          0          0         0         0
sx2879070b              0.1088      0.906          0          0         0         0
x2973160b               0.1094      0.911          0          0         0         0
sx2973160b               0.109     0.9079          0          0         0         0
x3066815c               0.1167     0.9715          0          0         0         0
sx3066815c               0.116      0.966          0          0         0         0
x2897777c               0.1164     0.9692          0          0         0         0
sx2897777c              0.1157     0.9637          0          0         0         0
x2991914c               0.1155     0.9622          0          0         0         0
sx2991914c              0.1151     0.9589          0          0         0         0
x2822869a               0.1059     0.8815          0          0         0         0
sx2822869a              0.1053     0.8771          0          0         0         0
x2729410c               0.1153     0.9601          0          0         0         0
sx2729410c              0.1146     0.9546          0          0         0         0
x3197640c               0.1159      0.965          0          0         0         0
sx3197640c              0.1156     0.9628          0          0         0         0
x2954353a               0.1074      0.894          0          0         0         0
sx2954353a              0.1068     0.8894          0          0         0         0
x3160109b               0.1088     0.9064          0          0         0         0
sx3160109b              0.1082     0.9013          0          0         0         0
x3104136b               0.1088     0.9057          0          0         0         0
sx3104136b              0.1084     0.9027          0          0         0         0
x2822872b               0.1086     0.9047          0          0         0         0
sx2822872b               0.108     0.8997          0          0         0         0
x3122821b               0.1082     0.9013          0          0         0         0
sx3122821b              0.1076     0.8962          0          0         0         0
x2860482a               0.1059     0.8817          0          0         0         0
sx2860482a              0.1053     0.8772          0          0         0         0
x3010560b               0.1079     0.8989          0          0         0         0
sx3010560b              0.1073     0.8939          0          0         0         0
x3104119a               0.1058     0.8814          0          0         0         0
sx3104119a              0.1053     0.8769          0          0         0         0
x2785517c               0.1147     0.9553          0          0         0         0
sx2785517c              0.1145     0.9531          0          0         0         0
x3066809c               0.1147     0.9549          0          0         0         0
sx3066809c               0.114     0.9493          0          0         0         0
x2954344c               0.1146     0.9546          0          0         0         0
sx2954344c               0.114      0.949          0          0         0         0
x2897767c               0.1146     0.9546          0          0         0         0
sx2897767c               0.114      0.949          0          0         0         0
x3254208c               0.1146     0.9545          0          0         0         0
sx3254208c               0.114     0.9489          0          0         0         0
x2748125c               0.1146     0.9544          0          0         0         0
sx2748125c              0.1139     0.9488          0          0         0         0
x2673303c               0.1146     0.9544          0          0         0         0
sx2673303c              0.1142      0.951          0          0         0         0
x3104117c               0.1146     0.9541          0          0         0         0
sx3104117c              0.1136     0.9457          0          0         0         0
x3010568a               0.1081     0.9002          0          0         0         0
sx3010568a              0.1075     0.8956          0          0         0         0
x3029505c               0.1174     0.9772          0          0         0         0
sx3029505c              0.1167     0.9717          0          0         0         0
x2673318c               0.1173     0.9772          0          0         0         0
sx2673318c              0.1167     0.9717          0          0         0         0
x3178979c               0.1177     0.9798          0          0         0         0
sx3178979c              0.1167     0.9716          0          0         0         0
x3104129a               0.1085     0.9038          0          0         0         0
sx3104129a              0.1077     0.8969          0          0         0         0
x3141401a               0.1088     0.9059          0          0         0         0
sx3141401a              0.1082     0.9013          0          0         0         0
x2841632b               0.1111     0.9252          0          0         0         0
sx2841632b              0.1105       0.92          0          0         0         0
x2748157a               0.1096     0.9123          0          0         0         0
sx2748157a              0.1087     0.9054          0          0         0         0
x2785537a               0.1096     0.9123          0          0         0         0
sx2785537a              0.1092     0.9095          0          0         0         0
x2691967b               0.1119     0.9322          0          0         0         0
sx2691967b              0.1116      0.929          0          0         0         0
x2916620a               0.1107     0.9218          0          0         0         0
sx2916620a              0.1105     0.9199          0          0         0         0
x2916620b               0.1125     0.9364          0          0         0         0
sx2916620b              0.1122     0.9343          0          0         0         0
x2916620c               0.1192     0.9925          0          0         0         0
sx2916620c              0.1189     0.9904          0          0         0         0
x2766738c               0.1194     0.9939          0          0         0         0
sx2766738c              0.1187     0.9885          0          0         0         0
x3066814b               0.1128     0.9393          0          0         0         0
sx3066814b              0.1125     0.9372          0          0         0         0
x2820535b               0.1126      0.938          0          0         0         0
sx2820535b               0.112     0.9327          0          0         0         0
x2785534b               0.1125      0.937          0          0         0         0
sx2785534b              0.1119     0.9318          0          0         0         0
x2691965b               0.1125      0.937          0          0         0         0
sx2691965b              0.1124     0.9359          0          0         0         0
x2748144a               0.1111     0.9253          0          0         0         0
sx2748144a              0.1106     0.9206          0          0         0         0
x2897792a               0.1104     0.9189          0          0         0         0
sx2897792a                0.11     0.9161          0          0         0         0
x2785538a               0.1103     0.9188          0          0         0         0
sx2785538a              0.1098     0.9141          0          0         0         0
x2897793a               0.1103     0.9187          0          0         0         0
sx2897793a              0.1101     0.9168          0          0         0         0
x3254231a               0.1103     0.9186          0          0         0         0
sx3254231a              0.1101     0.9168          0          0         0         0
x3254230a               0.1103     0.9182          0          0         0         0
sx3254230a              0.1101     0.9172          0          0         0         0
x2673331b                0.112     0.9328          0          0         0         0
sx2673331b              0.1108     0.9224          0          0         0         0
x2935567b                0.112     0.9325          0          0         0         0
sx2935567b              0.1116     0.9293          0          0         0         0
x2804272b                0.112     0.9328          0          0         0         0
sx2804272b              0.1116     0.9297          0          0         0         0
x3160115b                0.112     0.9326          0          0         0         0
sx3160115b              0.1107     0.9222          0          0         0         0
x3254227b               0.1121     0.9336          0          0         0         0
sx3254227b              0.1119     0.9315          0          0         0         0
x2860499b                0.112     0.9327          0          0         0         0
sx2860499b              0.1108     0.9223          0          0         0         0
x3254229b                0.112     0.9324          0          0         0         0
sx3254229b              0.1113     0.9272          0          0         0         0
x2822873b                0.112     0.9323          0          0         0         0
sx2822873b              0.1117     0.9302          0          0         0         0
x3178988b                0.112     0.9323          0          0         0         0
sx3178988b              0.1117     0.9302          0          0         0         0
x2785536b                0.112     0.9323          0          0         0         0
sx2785536b              0.1116     0.9292          0          0         0         0
x3066826b                0.112     0.9323          0          0         0         0
sx3066826b               0.111     0.9245          0          0         0         0
x3197653b               0.1111     0.9254          0          0         0         0
sx3197653b              0.1105     0.9202          0          0         0         0
x2785535b               0.1111     0.9254          0          0         0         0
sx2785535b              0.1102     0.9177          0          0         0         0
x2916619b               0.1114     0.9275          0          0         0         0
sx2916619b              0.1108     0.9223          0          0         0         0
x2916617b               0.1114     0.9276          0          0         0         0
sx2916617b              0.1108     0.9224          0          0         0         0
x3122835b               0.1115     0.9285          0          0         0         0
sx3122835b              0.1111     0.9254          0          0         0         0
x2691966b               0.1118      0.931          0          0         0         0
sx2691966b              0.1106     0.9207          0          0         0         0
x3104145b               0.1116     0.9292          0          0         0         0
sx3104145b              0.1112     0.9261          0          0         0         0
x2973171b               0.1117     0.9298          0          0         0         0
sx2973171b               0.111     0.9246          0          0         0         0
x2804270b               0.1116     0.9293          0          0         0         0
sx2804270b              0.1112     0.9261          0          0         0         0
x3235273b               0.1117     0.9297          0          0         0         0
sx3235273b               0.111     0.9245          0          0         0         0
x2729423c               0.1196      0.996          0          0         0         0
sx2729423c              0.1192     0.9928          0          0         0         0
x2729424a               0.1111      0.925          0          0         0         0
sx2729424a              0.1107     0.9222          0          0         0         0
x3160114a               0.1111     0.9251          0          0         0         0
sx3160114a              0.1107     0.9222          0          0         0         0
x3104144a               0.1111      0.925          0          0         0         0
sx3104144a              0.1109     0.9232          0          0         0         0
x3197652a               0.1111      0.925          0          0         0         0
sx3197652a              0.1105     0.9203          0          0         0         0
x3141394b               0.1152     0.9591          0          0         0         0
sx3141394b              0.1145     0.9538          0          0         0         0
x2804277c               0.1201          1          0          0         0         0
sx2804277c              0.1195     0.9949          0          0         0         0
x3197625c               0.1201          1          0          0         0         0
sx3197625c              0.1197     0.9971          0          0         0         0
x2785511a               0.1131     0.9417          0          0         0         0
sx2785511a              0.1125     0.9369          0          0         0         0
x2973148a               0.1124     0.9361          0          0         0         0
sx2973148a              0.1118     0.9314          0          0         0         0
x3160098a               0.1123     0.9352          0          0         0         0
sx3160098a               0.112     0.9323          0          0         0         0
x2916602a               0.1124     0.9362          0          0         0         0
sx2916602a              0.1119     0.9314          0          0         0         0
x3231255c               0.1197     0.9965          0          0         0         0
sx3231255c               0.119     0.9911          0          0         0         0
x3118855c               0.1197     0.9967          0          0         0         0
sx3118855c              0.1187     0.9886          0          0         0         0
x3085410b                0.112     0.9326          0          0         0         0
sx3085410b              0.1116     0.9295          0          0         0         0
x2992556c               0.1232      1.026          0          0         0         0
sx2992556c              0.1228      1.023          0          0         0         0
x3198356c               0.1182     0.9846          0          0         0         0
sx3198356c              0.1179     0.9814          0          0         0         0
x3048968c               0.1182     0.9845          0          0         0         0
sx3048968c              0.1172     0.9763          0          0         0         0
x2767414c               0.1192     0.9925          0          0         0         0
sx2767414c              0.1188     0.9893          0          0         0         0
x3045895c               0.1189     0.9905          0          0         0         0
sx3045895c              0.1183     0.9851          0          0         0         0
x2692664c               0.1189     0.9905          0          0         0         0
sx2692664c              0.1186     0.9873          0          0         0         0
x2991901b                0.106     0.8828          0          0         0         0
sx2991901b              0.1054     0.8779          0          0         0         0
x2673322b               0.1068     0.8894          0          0         0         0
sx2673322b              0.1066     0.8874          0          0         0         0
x2766730b               0.1068     0.8894          0          0         0         0
sx2766730b              0.1064     0.8864          0          0         0         0
x2689691a               0.1036     0.8628          0          0         0         0
sx2689691a              0.1031     0.8584          0          0         0         0
x2914323b               0.1068     0.8895          0          0         0         0
sx2914323b              0.1066     0.8875          0          0         0         0
x3048222c               0.1154     0.9606          0          0         0         0
sx3048222c              0.1144     0.9522          0          0         0         0
x3122837c               0.1154     0.9607          0          0         0         0
sx3122837c              0.1144     0.9523          0          0         0         0
x2991933c               0.1154     0.9608          0          0         0         0
sx2991933c               0.114     0.9496          0          0         0         0
x2710525c               0.1154     0.9607          0          0         0         0
sx2710525c              0.1147     0.9551          0          0         0         0
x2673323c               0.1154     0.9608          0          0         0         0
sx2673323c              0.1147     0.9552          0          0         0         0
x2710542b               0.1068     0.8891          0          0         0         0
sx2710542b              0.1062     0.8841          0          0         0         0
x2766742b               0.1066     0.8878          0          0         0         0
sx2766742b              0.1063     0.8849          0          0         0         0
x3254234b               0.1065     0.8865          0          0         0         0
sx3254234b              0.1059     0.8816          0          0         0         0
x3104114b               0.1064     0.8859          0          0         0         0
sx3104114b              0.1058     0.8809          0          0         0         0
x2822857b               0.1063     0.8854          0          0         0         0
sx2822857b               0.106     0.8825          0          0         0         0
x2691939b               0.1063     0.8854          0          0         0         0
sx2691939b              0.1057     0.8805          0          0         0         0
x2860478b               0.1063     0.8853          0          0         0         0
sx2860478b               0.106     0.8824          0          0         0         0
x2822858b               0.1063     0.8853          0          0         0         0
sx2822858b              0.1057     0.8804          0          0         0         0
x3254206b               0.1062     0.8846          0          0         0         0
sx3254206b              0.1056     0.8796          0          0         0         0
x2766715b               0.1062     0.8847          0          0         0         0
sx2766715b              0.1059     0.8817          0          0         0         0
x2860479b               0.1061     0.8839          0          0         0         0
sx2860479b              0.1059     0.8819          0          0         0         0
x3178969b               0.1061     0.8839          0          0         0         0
sx3178969b              0.1058     0.8809          0          0         0         0
x2729401b               0.1061     0.8839          0          0         0         0
sx2729401b              0.1058     0.8809          0          0         0         0
x2804245b               0.1061     0.8834          0          0         0         0
sx2804245b              0.1055     0.8785          0          0         0         0
x3216338b                0.106     0.8828          0          0         0         0
sx3216338b              0.1054     0.8779          0          0         0         0
x2691938b                0.106     0.8829          0          0         0         0
sx2691938b              0.1054      0.878          0          0         0         0
x2673326b                0.106      0.883          0          0         0         0
sx2673326b              0.1057     0.8801          0          0         0         0
x3251806b               0.1061     0.8833          0          0         0         0
sx3251806b              0.1057     0.8803          0          0         0         0
x3160108b               0.1061     0.8832          0          0         0         0
sx3160108b              0.1052     0.8759          0          0         0         0
x2841624b                0.106     0.8831          0          0         0         0
sx2841624b              0.1057     0.8801          0          0         0         0
x2729409b               0.1061     0.8831          0          0         0         0
sx2729409b              0.1055     0.8782          0          0         0         0
x3029510b               0.1061     0.8831          0          0         0         0
sx3029510b              0.1057     0.8802          0          0         0         0
x2991927b               0.1061     0.8832          0          0         0         0
sx2991927b              0.1055     0.8783          0          0         0         0
x2954338b               0.1063     0.8853          0          0         0         0
sx2954338b              0.1057     0.8804          0          0         0         0
x3197634b               0.1075     0.8956          0          0         0         0
sx3197634b              0.1067     0.8881          0          0         0         0
x2729408b               0.1075     0.8954          0          0         0         0
sx2729408b              0.1069     0.8904          0          0         0         0
x2991909a               0.1044     0.8695          0          0         0         0
sx2991909a              0.1039     0.8651          0          0         0         0
x3085398b               0.1075     0.8952          0          0         0         0
sx3085398b              0.1069     0.8903          0          0         0         0
x2673314c               0.1156     0.9624          0          0         0         0
sx2673314c              0.1153     0.9602          0          0         0         0
x3122817c               0.1156     0.9624          0          0         0         0
sx3122817c              0.1152     0.9591          0          0         0         0
x3160102b               0.1073     0.8936          0          0         0         0
sx3160102b              0.1067     0.8886          0          0         0         0
x2822871b               0.1085     0.9038          0          0         0         0
sx2822871b              0.1079     0.8987          0          0         0         0
x2876813a               0.1052     0.8762          0          0         0         0
sx2876813a              0.1047     0.8717          0          0         0         0
x2952013a               0.1051     0.8752          0          0         0         0
sx2952013a              0.1049     0.8735          0          0         0         0
x2916598a               0.1054     0.8774          0          0         0         0
sx2916598a              0.1052     0.8756          0          0         0         0
x3048212a               0.1054     0.8774          0          0         0         0
sx3048212a              0.1052     0.8756          0          0         0         0
x2691973a               0.1054     0.8773          0          0         0         0
sx2691973a               0.105     0.8747          0          0         0         0
x2954357a               0.1054     0.8773          0          0         0         0
sx2954357a              0.1046     0.8707          0          0         0         0
x2841639a               0.1055     0.8785          0          0         0         0
sx2841639a               0.105      0.874          0          0         0         0
x2804262a               0.1055     0.8788          0          0         0         0
sx2804262a              0.1052     0.8761          0          0         0         0
x2973165a               0.1056     0.8791          0          0         0         0
sx2973165a               0.105     0.8746          0          0         0         0
x2785529c                0.116     0.9663          0          0         0         0
sx2785529c              0.1154     0.9608          0          0         0         0
x3197646b               0.1087     0.9052          0          0         0         0
sx3197646b              0.1081     0.9001          0          0         0         0
x3141389a               0.1052     0.8761          0          0         0         0
sx3141389a              0.1049     0.8734          0          0         0         0
x3197618a               0.1052     0.8761          0          0         0         0
sx3197618a              0.1049     0.8734          0          0         0         0
x2691936a               0.1052     0.8762          0          0         0         0
sx2691936a              0.1049     0.8735          0          0         0         0
x3216336a               0.1052     0.8762          0          0         0         0
sx3216336a              0.1047     0.8718          0          0         0         0
x3216337a               0.1052     0.8763          0          0         0         0
sx3216337a              0.1049     0.8736          0          0         0         0
x2841615a               0.1052     0.8764          0          0         0         0
sx2841615a              0.1049     0.8737          0          0         0         0
x2954348a               0.1053     0.8765          0          0         0         0
sx2954348a              0.1047     0.8721          0          0         0         0
x3235249a               0.1053     0.8767          0          0         0         0
sx3235249a              0.1051     0.8749          0          0         0         0
x2916599a               0.1053     0.8769          0          0         0         0
sx2916599a              0.1048     0.8725          0          0         0         0
x3122816b               0.1075     0.8948          0          0         0         0
sx3122816b              0.1069     0.8898          0          0         0         0
x3160103c               0.1152     0.9597          0          0         0         0
sx3160103c              0.1148     0.9563          0          0         0         0
x2935556b               0.1072     0.8925          0          0         0         0
sx2935556b              0.1066     0.8875          0          0         0         0
x3104124b               0.1072     0.8925          0          0         0         0
sx3104124b              0.1068     0.8895          0          0         0         0
x2970804c               0.1217      1.014          0          0         0         0
sx2970804c              0.1211      1.008          0          0         0         0
x3176661c               0.1217      1.014          0          0         0         0
sx3176661c              0.1215      1.012          0          0         0         0
x3048937c               0.1217      1.014          0          0         0         0
sx3048937c              0.1214      1.011          0          0         0         0
x2804957c               0.1217      1.014          0          0         0         0
sx2804957c              0.1215      1.012          0          0         0         0
x2767343c               0.1217      1.014          0          0         0         0
sx2767343c              0.1208      1.006          0          0         0         0
x3179608c               0.1203      1.001          0          0         0         0
sx3179608c              0.1193     0.9934          0          0         0         0
x3086002c               0.1203      1.002          0          0         0         0
sx3086002c              0.1196     0.9962          0          0         0         0
x2842330c               0.1203      1.002          0          0         0         0
sx2842330c              0.1196     0.9963          0          0         0         0
x3235945c               0.1203      1.002          0          0         0         0
sx3235945c              0.1197     0.9964          0          0         0         0
x2955006c               0.1203      1.002          0          0         0         0
sx2955006c              0.1197     0.9965          0          0         0         0
x2692600c               0.1203      1.002          0          0         0         0
sx2692600c              0.1197     0.9965          0          0         0         0
x3235946a               0.1147     0.9549          0          0         0         0
sx3235946a              0.1141       0.95          0          0         0         0
x3011229a               0.1146     0.9544          0          0         0         0
sx3011229a              0.1143     0.9515          0          0         0         0
x2767342a               0.1146     0.9542          0          0         0         0
sx2767342a               0.114     0.9494          0          0         0         0
x2748780a               0.1146     0.9541          0          0         0         0
sx2748780a               0.114     0.9493          0          0         0         0
x2823544a               0.1146      0.954          0          0         0         0
sx2823544a               0.114     0.9491          0          0         0         0
x3195321a               0.1146     0.9539          0          0         0         0
sx3195321a              0.1142      0.951          0          0         0         0
x2823545a               0.1145     0.9537          0          0         0         0
sx2823545a              0.1139     0.9488          0          0         0         0
x3101782a               0.1145     0.9538          0          0         0         0
sx3101782a              0.1137     0.9465          0          0         0         0
x2936214a               0.1153     0.9604          0          0         0         0
sx2936214a              0.1148     0.9556          0          0         0         0
x3142049c               0.1208      1.006          0          0         0         0
sx3142049c              0.1206      1.004          0          0         0         0
x2804956a               0.1153     0.9604          0          0         0         0
sx2804956a              0.1148     0.9556          0          0         0         0
x2730106c               0.1209      1.007          0          0         0         0
sx2730106c              0.1202      1.001          0          0         0         0
x2936212a               0.1156     0.9629          0          0         0         0
sx2936212a               0.115      0.958          0          0         0         0
x3029495b               0.1069       0.89          0          0         0         0
sx3029495b              0.1065      0.887          0          0         0         0
x2804247b               0.1069       0.89          0          0         0         0
sx2804247b              0.1063      0.885          0          0         0         0
x3104115b               0.1069     0.8901          0          0         0         0
sx3104115b              0.1066     0.8881          0          0         0         0
x2954339b               0.1069     0.8901          0          0         0         0
sx2954339b              0.1063     0.8852          0          0         0         0
x3048200b               0.1069       0.89          0          0         0         0
sx3048200b              0.1066      0.888          0          0         0         0
x3216339b               0.1069     0.8899          0          0         0         0
sx3216339b              0.1063      0.885          0          0         0         0
x3048201b               0.1069     0.8899          0          0         0         0
sx3048201b              0.1063      0.885          0          0         0         0
x3141390b                0.107      0.891          0          0         0         0
sx3141390b              0.1064      0.886          0          0         0         0
x2710537b                0.107     0.8906          0          0         0         0
sx2710537b              0.1064     0.8857          0          0         0         0
x2673300b                0.107      0.891          0          0         0         0
sx2673300b              0.1064     0.8861          0          0         0         0
x3085388b                0.107     0.8909          0          0         0         0
sx3085388b              0.1067     0.8889          0          0         0         0
x2822859b                0.107      0.891          0          0         0         0
sx2822859b              0.1064     0.8861          0          0         0         0
x2991902b               0.1071     0.8915          0          0         0         0
sx2991902b              0.1065     0.8865          0          0         0         0
x2991918b               0.1071     0.8919          0          0         0         0
sx2991918b              0.1065      0.887          0          0         0         0
x2897764b               0.1071     0.8919          0          0         0         0
sx2897764b              0.1065     0.8869          0          0         0         0
x2860488b               0.1071     0.8922          0          0         0         0
sx2860488b              0.1066     0.8873          0          0         0         0
x2804260b               0.1074     0.8945          0          0         0         0
sx2804260b              0.1068     0.8895          0          0         0         0
x2973163b               0.1075     0.8951          0          0         0         0
sx2973163b              0.1073     0.8931          0          0         0         0
x3104130b               0.1078     0.8973          0          0         0         0
sx3104130b              0.1072     0.8923          0          0         0         0
x2879079b               0.1078     0.8978          0          0         0         0
sx2879079b              0.1075     0.8948          0          0         0         0
x2991917b               0.1079     0.8987          0          0         0         0
sx2991917b              0.1077     0.8967          0          0         0         0
x2841636b                0.108     0.8995          0          0         0         0
sx2841636b              0.1077     0.8965          0          0         0         0
x3085389b               0.1069     0.8904          0          0         0         0
sx3085389b              0.1063     0.8854          0          0         0         0
x2673319c               0.1137     0.9472          0          0         0         0
sx2673319c              0.1133     0.9438          0          0         0         0
x2841631c               0.1138     0.9474          0          0         0         0
sx2841631c              0.1131     0.9419          0          0         0         0
x3216350a               0.1038      0.864          0          0         0         0
sx3216350a              0.1032     0.8597          0          0         0         0
x3141402c               0.1138     0.9474          0          0         0         0
sx3141402c              0.1131     0.9418          0          0         0         0
x3197642c               0.1138     0.9476          0          0         0         0
sx3197642c              0.1134     0.9442          0          0         0         0
x2691952a               0.1038     0.8641          0          0         0         0
sx2691952a              0.1034     0.8614          0          0         0         0
x2879081a               0.1038     0.8641          0          0         0         0
sx2879081a              0.1035     0.8615          0          0         0         0
x2785530a               0.1038     0.8643          0          0         0         0
sx2785530a              0.1036     0.8625          0          0         0         0
x2766723a               0.1038     0.8642          0          0         0         0
sx2766723a              0.1033     0.8598          0          0         0         0
x3122822a               0.1038     0.8642          0          0         0         0
sx3122822a              0.1033     0.8598          0          0         0         0
x2766747a               0.1034     0.8607          0          0         0         0
sx2766747a              0.1028     0.8564          0          0         0         0
x2858163a               0.1034     0.8609          0          0         0         0
sx2858163a              0.1031     0.8582          0          0         0         0
x3216346a               0.1034      0.861          0          0         0         0
sx3216346a              0.1031     0.8584          0          0         0         0
x3029500a               0.1034      0.861          0          0         0         0
sx3029500a              0.1029     0.8567          0          0         0         0
x3156034a               0.1034     0.8612          0          0         0         0
sx3156034a              0.1032     0.8594          0          0         0         0
x3066821a               0.1034     0.8612          0          0         0         0
sx3066821a              0.1029     0.8568          0          0         0         0
x2748140a               0.1034     0.8612          0          0         0         0
sx2748140a              0.1029     0.8568          0          0         0         0
x3141412a               0.1034     0.8611          0          0         0         0
sx3141412a              0.1031     0.8585          0          0         0         0
x2991915b               0.1047     0.8715          0          0         0         0
sx2991915b              0.1041     0.8666          0          0         0         0
x2673320b               0.1047     0.8715          0          0         0         0
sx2673320b              0.1041     0.8666          0          0         0         0
x2841634b               0.1047     0.8715          0          0         0         0
sx2841634b              0.1038     0.8643          0          0         0         0
x2766720a               0.1042     0.8676          0          0         0         0
sx2766720a              0.1037     0.8632          0          0         0         0
x3235254c               0.1162     0.9678          0          0         0         0
sx3235254c              0.1156     0.9623          0          0         0         0
x2935566c               0.1196     0.9959          0          0         0         0
sx2935566c               0.119     0.9906          0          0         0         0
x3141393c               0.1197     0.9969          0          0         0         0
sx3141393c              0.1191     0.9915          0          0         0         0
x3030204a               0.1236      1.029          0          0         0         0
sx3030204a               0.123      1.024          0          0         0         0
x3160868b               0.1182     0.9846          0          0         0         0
sx3160868b              0.1176     0.9794          0          0         0         0
x2785524c               0.1153     0.9605          0          0         0         0
sx2785524c              0.1149     0.9571          0          0         0         0
